id_estudiante,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,tipo_documento,numero_documento,correo_electronico,telefono,direccion,fecha_nacimiento,promedio_academico,historial_notas,materias_perdidas,semestre_cursado,creditos_matriculados,creditos_aprobados,asistencia_clases,rendimiento_periodo,estado_pagos,mora_matricula,becas_apoyos,estrato,ingresos_familiares,num_dependientes,situacion_laboral,horas_trabajo_semanales,lugar_residencia,tipo_vivienda,edad,genero,programa_academico,ciudad_origen,estado_estudiante,atenciones_psicologicas,seguimientos_realizados,casos_riesgo,participacion_institucional,evaluacion_docente
EST-0011,Gerardo,Andrés,Espinosa,Castellanos,CC,4397773690,gerardo.espinosa20@email.com,603 831 42 44,"Calle 8Y # 2-4 Este, 057669, Carepa, Antioquia",2003-01-16,4.12,4.10;4.13;4.08;4.18,1,4,15,10,96,0.1,Al día,False,No,4,2536000.0,3,No trabaja,0,Misma ciudad,Familiar,22,Masculino,Ingeniería de Sistemas,Arequipa,Activo,1,0,False,1,4.7
EST-0012,Juan,,Gómez,Alzate,CC,7638171137,juan.gómez39@email.com,018005005801,"Cr. 1B Bis # 5-4, Bodega 63, 446387, Albania, La Guajira",2003-06-03,4.33,4.39;4.26;4.29;4.48;4.45;4.09,1,6,21,19,88,-0.36,Al día,True,No,3,2477000.0,3,Tiempo completo,37,Misma ciudad,Arrendada,19,Femenino,Ingeniería de Sistemas,Lima,Activo,1,1,True,2,3.9
EST-0013,Sandra,,Sierra,,CC,5697893314,sandra.sierra16@email.com,(+57)3174840231,"Cl. 54 # 1-4, 686805, Hato, Santander",2006-02-08,3.81,3.97;3.81;3.68;3.78;3.83,2,5,22,16,96,0.05,En mora,False,No,4,3492000.0,2,Medio tiempo,29,Misma ciudad,Propia,21,Masculino,Ingeniería de Sistemas,Lima,Activo,0,0,False,3,3.3
EST-0014,Paula,,Pinzón,,CC,5867040795,paula.pinzón78@email.com,+57 320 701 21 30,"Cr. 80 # 1-45 Sur, 052389, San Luis, Antioquia",2001-12-10,3.53,3.54;3.51;3.53,5,3,14,0,54,0.02,En mora,True,No,2,2055000.0,5,Medio tiempo,10,Ciudad cercana,Propia,22,Femenino,Ingeniería de Sistemas,Lima,Desertor,1,1,False,1,4.0
EST-0015,Miguel,Eliecer,Rosero,Bermúdez,CC,2276716561,miguel.rosero23@email.com,608 327 27 24,"Cl. 171 # 8-41, 234783, Puerto Escondido, Córdoba",2003-09-18,4.75,4.81;4.94;4.69;4.72;4.57,0,5,17,17,89,-0.15,Al día,False,No,3,5269000.0,2,Medio tiempo,17,Ciudad cercana,Arrendada,19,Femenino,Ingeniería de Sistemas,Lima,Activo,1,1,True,0,4.3
EST-0016,Antonio,Armando,Rodríguez,Sánchez,CC,5346045423,antonio.rodríguez58@email.com,302 585 49 49,"Cr. 6ª # 9M-76 Sur, 199882, Timbío, Cauca",2000-07-06,3.64,3.86;3.70;3.56;3.62;3.45,5,5,12,0,45,-0.17,Pago parcial,True,No,2,1013000.0,5,Tiempo completo,40,Ciudad lejana,Arrendada,22,Masculino,Ingeniería de Sistemas,Andahuaylas,Desertor,0,0,True,0,3.9
EST-0017,Fernando,César,Rodríguez,Ríos,CC,6953330355,fernando.rodríguez52@email.com,3059774984,"Cl. 132 # 33I-60 Sur, Bodega 93, 520954, Francisco Pizarro, Nariño",2001-07-07,4.18,4.54;4.25;4.08;3.81;4.13;4.52;4.17;3.98,1,8,17,12,82,-0.19,Al día,False,No,3,1354000.0,3,No trabaja,0,Misma ciudad,Familiar,17,Masculino,Ingeniería de Sistemas,Puerto Maldonado,Activo,1,1,False,0,3.9
EST-0018,Miguel,Yurany,González,,CC,3382441262,miguel.gonzález70@email.com,308 670 83 62,"Calle 5N # 39U-86 Este, 520376, La Tola, Nariño",2007-07-24,3.94,4.09;3.98;3.97;3.72;3.91;3.97,1,6,17,16,83,0.06,Al día,True,No,1,1733000.0,2,No trabaja,0,Ciudad cercana,Propia,18,Femenino,Ingeniería de Sistemas,Moyobamba,Activo,0,0,False,1,4.5
EST-0019,Jorge,Fernando,Torres,Mosquera,CC,5209042463,jorge.torres61@email.com,57 329 099 39 43,"Cr. 51 # 22U-36 Sur, Casa 63, 250609, Tenjo, Cundinamarca",2004-04-03,3.92,4.09;3.84;3.81;3.95,2,4,16,12,81,0.14,Al día,False,Sí,4,947000.0,2,Medio tiempo,12,Misma ciudad,Familiar,21,Femenino,Ingeniería de Sistemas,Trujillo,Activo,1,0,False,2,4.2
EST-0020,Daniel,Ángela,Meza,Beltrán,CC,3865651129,daniel.meza75@email.com,3210481546,"Transversal 94 # 12C-4, 527615, Gualmatán, Nariño",1999-02-15,3.63,3.63,2,1,19,14,77,0.0,Al día,False,No,6,2486000.0,4,Medio tiempo,19,Misma ciudad,Arrendada,20,Masculino,Ingeniería de Sistemas,Cusco,Activo,0,2,True,0,3.4
EST-0021,Ángela,Carmen,Mendoza,,CC,2582804648,ángela.mendoza81@email.com,57 603 788 74 75,"Cr. 1A Bis J # 42-19 Sur, Etapa 4 apartamento 6, 255188, Cogua, Cundinamarca",2004-01-14,3.29,3.29,6,1,13,0,63,0.0,En mora,True,Sí,1,851000.0,7,Medio tiempo,27,Ciudad lejana,Arrendada,28,Femenino,Ingeniería de Sistemas,Barranca,Desertor,0,4,True,1,2.9
EST-0022,Yuli,,Rengifo,Bastidas,CC,8819337992,yuli.rengifo74@email.com,01 8004 083 750,"Avenida calle 95 # 1X-7 Sur, 159940, Chivatá, Boyacá",2005-12-29,3.8,3.80,2,1,17,10,88,0.0,Al día,False,No,3,1669000.0,3,No trabaja,0,Misma ciudad,Arrendada,19,Femenino,Ingeniería de Sistemas,Lima,Activo,1,0,False,0,4.5
EST-0023,Santiago,Abraham,Perea,,CC,7062701052,santiago.perea64@email.com,(+57)3165564518,"Av. Guainía # 4-2 Sur, 543177, Bucarasica, Norte de Santander",2002-12-04,3.72,3.93;3.81;3.72;3.64;3.64;3.71;3.72;3.63,2,8,22,16,92,-0.09,Al día,False,Sí,3,604000.0,1,No trabaja,0,Ciudad cercana,Arrendada,19,Femenino,Ingeniería de Sistemas,Juliaca,Activo,0,1,False,4,3.9
EST-0024,Paula,,Salazar,Martínez,CC,5321053400,paula.salazar83@email.com,57 329 432 23 68,"Diagonal 9H # 5-5 Sur, 256981, Villapinzón, Cundinamarca",1998-04-15,3.39,3.39,5,1,11,0,68,0.0,Pago parcial,False,No,3,1057000.0,2,Medio tiempo,23,Ciudad cercana,Familiar,17,Masculino,Ingeniería de Sistemas,Pucallpa,Desertor,1,0,True,0,3.8
EST-0025,Julieth,Laura,Toro,Tamayo,CC,4064845727,julieth.toro26@email.com,+57 319 369 37 31,"Transversal 37 # 7-56 Este, Apto. 834, 526028, La Florida, Nariño",2003-01-15,3.9,3.84;4.21;4.14;3.87;3.91;3.45,1,6,18,13,74,-0.46,Al día,False,Sí,3,2320000.0,6,Medio tiempo,17,Misma ciudad,Propia,22,Femenino,Ingeniería de Sistemas,Tumbes,Activo,0,0,False,3,3.6
EST-0026,Edgar,Leonor,Montes,,CC,5519381768,edgar.montes20@email.com,(+57) 609 531 20 01,"Calle 13S # 5-17, 418957, Palestina, Huila",1996-02-28,3.92,3.92,3,1,14,5,53,0.0,Al día,True,No,5,1231000.0,3,No trabaja,0,Ciudad lejana,Arrendada,26,Masculino,Ingeniería de Sistemas,Lima,Desertor,2,1,True,0,3.7
EST-0027,Edgar,Eugenia,Rodríguez,Cortés,CC,2302346669,edgar.rodríguez15@email.com,+57 304 137 99 52,"Carrera 103 Bis # 5J-5, 153937, Saboyá, Boyacá",2001-03-30,4.3,4.30;4.30,0,2,16,16,93,0.0,Al día,False,No,3,970000.0,1,No trabaja,0,Ciudad cercana,Arrendada,17,Masculino,Ingeniería de Sistemas,Tacna,Activo,0,0,False,3,3.8
EST-0028,Patricia,María,Carvajal,Rodríguez,CC,5691735614,patricia.carvajal83@email.com,576056052246,"Cl. 46X Bis # 44-4, Casa 71, 156812, Rondón, Boyacá",2001-02-15,3.41,3.54;3.33;3.56;3.22,3,4,19,10,89,-0.34,Al día,False,Sí,6,3901000.0,8,Medio tiempo,14,Misma ciudad,Arrendada,20,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,0,4.1
EST-0029,Albeiro,Juan,Álvarez,Prada,CC,2450811102,albeiro.álvarez1@email.com,+57 323 726 88 04,"Av. Archipiélago de San Andrés, Providencia y Santa Catalina # 57-1 Sur, Casa 6, 254084, Pasca, Cundinamarca",2002-03-28,4.0,4.01;4.15;3.85,2,3,16,12,72,-0.3,Al día,False,No,6,1085000.0,4,No trabaja,0,Misma ciudad,Arrendada,24,Masculino,Ingeniería de Sistemas,Jaén,Activo,0,1,False,1,4.0
EST-0030,Patricia,,Palacios,Ochoa,CC,1609835957,patricia.palacios40@email.com,+573155428221,"Cr. 146K # 50-5 Este, Bodega 69, 949542, San Felipe, Guainía",1997-05-28,3.93,3.98;4.24;3.91;3.93;3.91;3.73;3.84,1,7,19,17,75,0.11,Al día,True,No,3,3003000.0,5,Medio tiempo,16,Ciudad lejana,Familiar,24,Femenino,Ingeniería de Sistemas,Puno,Activo,0,1,False,2,4.4
EST-0031,René,Armando,Gómez,González,CC,6561365511,rené.gómez59@email.com,6061895882,"Avenida calle 4ª # 8-74, 198927, Sucre, Cauca",2004-07-29,4.29,4.87;4.37;4.09;4.29;4.24;4.20;4.02;4.22,1,8,17,15,92,0.2,Al día,False,No,1,861000.0,1,No trabaja,0,Ciudad cercana,Arrendada,22,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,2,4.7
EST-0032,Alberto,,Sánchez,Rodríguez,CC,8637771247,alberto.sánchez16@email.com,57 310 353 35 15,"Calle 144I # 9-9 Este, 526747, Roberto Payán, Nariño",2007-08-26,3.33,3.50;3.48;3.54;3.14;3.38;3.24;3.53;3.18;3.40;2.94,6,10,19,0,67,-0.46,Al día,True,Sí,3,802000.0,3,Medio tiempo,27,Ciudad lejana,Propia,30,Masculino,Ingeniería de Sistemas,Lima,Desertor,4,3,True,0,3.2
EST-0033,Camilo,,Espinosa,Muñoz,CC,2921912556,camilo.espinosa86@email.com,+573263280902,"Calle 124 # 67-66 Este, Etapa 6 apartamento 9, 540259, Cáchira, Norte de Santander",1999-07-07,3.72,3.65;3.85;3.67,2,3,17,11,68,-0.18,Pago parcial,False,No,3,1467000.0,1,Medio tiempo,17,Ciudad cercana,Propia,21,Masculino,Ingeniería de Sistemas,Lima,Activo,0,1,False,3,4.1
EST-0034,Enrique,Jaime,Acevedo,Castaño,CC,2847898023,enrique.acevedo22@email.com,4794075,"Tr. 35 # 4-44 Sur, 155364, Saboyá, Boyacá",2004-08-16,3.98,4.07;3.71;4.16,2,3,16,12,93,0.45,Al día,False,Sí,5,4475000.0,4,No trabaja,0,Ciudad lejana,Propia,21,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,2,4.2
EST-0035,Leonardo,Viviana,Sierra,Acevedo,CC,2676285108,leonardo.sierra73@email.com,(+57)3132533783,"Av. Osorio # 52-7, 056174, Dabeiba, Antioquia",2003-01-19,4.75,4.78;4.72,0,2,19,18,91,-0.06,Pago parcial,False,No,1,2600000.0,5,No trabaja,0,Misma ciudad,Familiar,18,Masculino,Ingeniería de Sistemas,Chimbote,Activo,1,2,False,1,3.9
EST-0036,Victoria,Lizeth,Miranda,,CC,3517538416,victoria.miranda58@email.com,+573228140383,"Calle 3 Sur # 7-19 Sur, 157973, Busbanzá, Boyacá",2000-05-30,3.61,3.78;3.72;3.86;3.92;3.57;3.53;3.59;3.46;3.59;3.06,2,10,19,11,75,-0.53,Al día,False,No,4,842000.0,4,No trabaja,0,Misma ciudad,Propia,17,Masculino,Ingeniería de Sistemas,Lima,Activo,0,0,False,3,3.6
EST-0037,Laura,Ingrid,Salamanca,Navarro,CC,9237394570,laura.salamanca82@email.com,(+57) 309 225 93 47,"Carrera 35 # 85-94 Este, Casa 8, 858000, Pore, Casanare",2007-10-14,3.48,3.61;3.35,5,2,14,0,75,-0.26,Al día,True,No,1,777000.0,6,Medio tiempo,19,Misma ciudad,Arrendada,30,Masculino,Ingeniería de Sistemas,Moquegua,Desertor,3,3,True,1,3.6
EST-0038,Juan,Esperanza,Torres,Miranda,CC,4659430014,juan.torres58@email.com,(+57)3190503759,"Cl. 138Y # 7-7 Este, Etapa 8 apartamento 23, 888125, Providencia, Archipiélago de San Andrés, Providencia y Santa Catalina",2007-04-11,3.62,3.81;3.64;3.72;3.57;3.63;3.32,3,6,19,9,69,-0.31,Al día,False,Sí,5,1540000.0,4,No trabaja,0,Misma ciudad,Propia,22,Femenino,Ingeniería de Sistemas,Ica,Activo,0,0,False,2,3.8
EST-0039,Mayra,,Murcia,,CC,5722217745,mayra.murcia26@email.com,(+57)3164116095,"Cr. 64 # 3-4 Este, Oficina 13, 052688, San Pedro de los Milagros, Antioquia",2008-01-16,3.28,3.24;3.33,6,2,9,0,50,0.09,Al día,True,No,4,1455000.0,7,Tiempo completo,35,Ciudad lejana,Propia,23,Masculino,Ingeniería de Sistemas,Huaraz,Desertor,0,5,True,1,3.7
EST-0040,Jairo,Felipe,Salazar,,CC,8605828690,jairo.salazar61@email.com,01 8000 683 067,"Carrera 9ª # 5-6 Este, 705311, Morroa, Sucre",2005-08-28,4.3,4.48;4.50;4.17;4.12;4.31;4.20,1,6,19,14,87,-0.11,Al día,False,No,3,4231000.0,5,Tiempo completo,33,Misma ciudad,Propia,24,Masculino,Ingeniería de Sistemas,Piura,Activo,0,0,False,3,3.7
EST-0041,Melissa,José,Ruiz,,CC,7282878288,melissa.ruiz95@email.com,573243535760,"Avenida Tarazá # 9-7, Local 31, 152298, Betéitiva, Boyacá",2002-08-07,3.93,4.00;3.86,2,2,19,15,75,-0.14,Al día,False,No,1,1266000.0,3,No trabaja,0,Misma ciudad,Propia,28,Femenino,Ingeniería de Sistemas,Arequipa,Activo,0,0,False,2,4.8
EST-0042,Julián,Verónica,Moreno,Cruz,CC,8570509217,julián.moreno2@email.com,+57 327 300 12 11,"Carrera 10 # 8-6, 508250, Cumaral, Meta",2001-09-18,3.87,4.17;4.25;4.01;3.82;3.70;3.78;3.68;3.53,3,8,24,13,76,-0.15,Al día,True,No,4,1269000.0,2,Medio tiempo,19,Misma ciudad,Familiar,21,Femenino,Ingeniería de Sistemas,Nazca,Activo,0,1,False,5,3.9
EST-0043,Carlos,,Pérez,Bermúdez,CC,3772675494,carlos.pérez28@email.com,6067550357,"Carrera 175X # 11-13 Sur, 086978, Santo Tomás, Atlántico",2003-07-17,4.26,4.26;4.33;4.19,1,3,19,15,88,-0.14,Al día,False,No,1,1800000.0,3,Tiempo completo,31,Misma ciudad,Propia,20,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,1,4.5
EST-0044,Luz,Sebastián,Cardona,Guerrero,CC,2610070260,luz.cardona68@email.com,+57 311 485 21 01,"Cl. 63 # 40B-34 Sur, 735086, Chaparral, Tolima",2008-07-16,3.97,3.94;3.78;4.18,2,3,20,12,99,0.4,Al día,False,No,2,946000.0,3,Tiempo completo,30,Misma ciudad,Arrendada,18,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,1,4.1
EST-0045,Patricia,,Medina,Duarte,TI,5479302337,patricia.medina55@email.com,(+57)6046912070,"Calle 124 # 5R-9 Sur, Local 45, 051534, Copacabana, Antioquia",2008-01-04,3.4,3.40,5,1,14,1,52,0.0,En mora,True,No,1,1579000.0,3,No trabaja,0,Misma ciudad,Propia,25,Femenino,Ingeniería de Sistemas,Lima,Desertor,3,1,True,0,3.7
EST-0046,Rocío,Amanda,González,Hernández,CC,3276379372,rocío.gonzález18@email.com,018002412579,"Cl. 37 # 2-37 Este, Torre 9 apartamento 204, 152490, Berbeo, Boyacá",2002-10-26,4.25,4.25,1,1,17,14,85,0.0,Al día,False,No,4,3300000.0,4,Tiempo completo,50,Misma ciudad,Arrendada,20,Masculino,Ingeniería de Sistemas,Lima,Activo,0,0,False,2,3.4
EST-0047,Jonathan,,Sánchez,Cárdenas,CC,7391336104,jonathan.sánchez28@email.com,6068587247,"Calle 3K # 30-27 Sur, Torre 8 apartamento 781, 159200, Tasco, Boyacá",2005-02-15,3.54,3.65;3.51;3.39;3.60,3,4,14,7,84,0.21,Al día,False,No,5,2011000.0,5,Tiempo completo,46,Ciudad cercana,Arrendada,23,Femenino,Ingeniería de Sistemas,Lima,Activo,0,2,False,2,3.9
EST-0048,Shirley,,Rengifo,Lozano,CC,8527525607,shirley.rengifo17@email.com,(+57)6022401325,"Dg. 2F Este # 1-3, 817901, Saravena, Arauca",2001-09-11,4.2,4.47;4.27;4.09;4.01;4.17,1,5,21,19,84,0.16,En mora,False,No,2,2748000.0,2,No trabaja,0,Misma ciudad,Propia,16,Femenino,Ingeniería de Sistemas,Lima,Activo,0,1,False,0,3.0
EST-0049,Diego,,Reyes,Betancur,CC,1901460160,diego.reyes32@email.com,+57 607 861 39 01,"Cl. 178 # 74Y-2 Este, 256279, Cajicá, Cundinamarca",2000-10-05,3.66,3.94;3.82;3.72;3.79;3.63;3.56;3.65;3.49;3.54;3.50,2,10,20,14,99,-0.04,Al día,False,Sí,2,1055000.0,5,No trabaja,0,Misma ciudad,Arrendada,23,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,5,4.1
EST-0050,Paola,,Mejía,Díaz,CC,9797032572,paola.mejía14@email.com,7441966,"Carrera 5N # 1-35, Torre 4 apartamento 91, 273597, Bojayá, Chocó",2003-03-25,3.8,3.92;3.73;3.72;3.95;3.90;3.83;3.98;3.34,2,8,23,17,81,-0.64,En mora,False,Sí,2,2061000.0,2,No trabaja,0,Ciudad lejana,Arrendada,16,Femenino,Ingeniería de Sistemas,Cusco,Activo,1,0,False,1,4.5
EST-0051,Elvira,Esther,Molina,,CC,5501565934,elvira.molina58@email.com,6053822325,"Calle 47 # 12-83 Este, 542769, Los Patios, Norte de Santander",2000-08-21,3.67,3.68;3.90;3.91;3.53;3.82;3.49;3.69;3.37,3,8,21,10,100,-0.32,Al día,False,Sí,2,2265000.0,4,No trabaja,0,Misma ciudad,Propia,22,Masculino,Ingeniería de Sistemas,Barranca,Activo,0,0,False,1,3.9
EST-0052,Fernando,,López,,CC,8480331333,fernando.lópez61@email.com,6061706635,"Calle 4 Bis # 3X-1 Este, 052790, El Carmen de Viboral, Antioquia",2003-04-18,3.72,3.93;3.68;3.61;3.77;3.59,2,5,19,12,89,-0.18,Al día,False,Sí,4,819000.0,1,Medio tiempo,25,Ciudad lejana,Propia,16,Masculino,Ingeniería de Sistemas,Cajamarca,Activo,0,0,False,5,4.8
EST-0053,Michel,Lucía,Tovar,Gómez,CC,4019759015,michel.tovar39@email.com,+57 607 420 56 48,"Cl. 42 # 1-4, Etapa 4 apartamento 9, 150834, Gámeza, Boyacá",2001-08-19,4.02,4.05;3.93;4.09,1,3,16,11,93,0.16,Al día,False,Sí,4,1163000.0,4,Tiempo completo,30,Misma ciudad,Arrendada,20,Masculino,Ingeniería de Sistemas,Juliaca,Activo,0,0,False,1,4.3
EST-0054,Francisco,Janeth,Sarmiento,González,CC,8196957657,francisco.sarmiento20@email.com,+57 315 984 04 61,"Cl. 50 # 6-71 Este, Bodega 59, 277379, Istmina, Chocó",2006-04-18,3.8,3.79;3.82,2,2,15,7,86,0.03,En mora,False,Sí,1,1498000.0,3,Tiempo completo,36,Ciudad cercana,Propia,23,Masculino,Ingeniería de Sistemas,Pucallpa,Activo,0,2,False,2,3.8
EST-0055,Camilo,Antonia,Castañeda,Castillo,CC,5758208284,camilo.castañeda6@email.com,018007924317,"Avenida carrera 42 # 53-72 Este, 523881, Ancuya, Nariño",2004-05-26,3.32,3.41;3.33;3.30;3.26,4,4,20,10,74,-0.04,Al día,False,Sí,6,1572000.0,4,Medio tiempo,10,Ciudad lejana,Propia,25,Femenino,Ingeniería de Sistemas,Tumbes,Activo,1,3,False,1,3.6
EST-0056,Fabiola,Juan,Duarte,,CC,3546603515,fabiola.duarte81@email.com,01 8006 376 948,"Diagonal 196L # 47-8 Sur, Bodega 26, 683915, Zapatoca, Santander",2002-12-11,3.37,3.72;3.81;3.51;3.15;3.22;3.30;3.29;3.26;3.28;3.18,4,10,20,8,90,-0.1,Al día,False,No,3,3670000.0,4,Tiempo completo,33,Ciudad cercana,Propia,25,Masculino,Ingeniería de Sistemas,Lima,Activo,0,0,False,2,3.2
EST-0057,Jimmy,,Riascos,Gaviria,CC,6084814432,jimmy.riascos88@email.com,573254008947,"Calle 151 # 88-28 Este, Casa 5, 549566, Mutiscua, Norte de Santander",1998-05-12,3.58,3.63;3.54,6,2,13,0,86,-0.09,En mora,True,No,1,3007000.0,1,Tiempo completo,40,Ciudad lejana,Familiar,21,Masculino,Ingeniería de Sistemas,Tacna,Desertor,2,3,True,0,3.1
EST-0058,Sebastián,Jesús,Muñoz,Vega,CC,5436241832,sebastián.muñoz10@email.com,+573081485240,"Cr. 1G # 75-2 Este, 192285, Cajibío, Cauca",2002-10-27,2.96,3.13;2.91;2.90;3.03;3.00;2.77,7,6,18,0,55,-0.23,En mora,True,No,2,1441000.0,6,No trabaja,0,Ciudad cercana,Arrendada,24,Masculino,Ingeniería de Sistemas,Lima,Desertor,3,3,True,2,3.7
EST-0059,Clara,,Gaitán,,CC,4071109653,clara.gaitán33@email.com,319 158 71 67,"Dg. 164N # 9-12 Sur, Casa 1, 084510, Barranquilla",2002-07-17,4.22,4.13;4.31;4.18;4.28,1,4,18,17,100,0.1,Al día,False,No,2,2367000.0,4,No trabaja,0,Ciudad cercana,Familiar,18,Femenino,Ingeniería de Sistemas,Lima,Activo,2,0,False,1,3.8
EST-0060,Aurelio,Estiven,Rueda,Silva,CC,9312440637,aurelio.rueda88@email.com,3170205798,"Carrera 58 # 9-3 Sur, Local 34, 525757, Mosquera, Nariño",2002-12-21,3.57,3.59;3.59;3.53,5,3,17,4,68,-0.06,Al día,True,No,2,1818000.0,3,Medio tiempo,21,Ciudad cercana,Familiar,16,Masculino,Ingeniería de Sistemas,Puno,Desertor,0,0,False,1,4.0
EST-0061,Luis,Lina,Rodríguez,Rentería,CC,6755933883,luis.rodríguez29@email.com,+573135580226,"Av. carrera 88 # 76P-51 Sur, 153189, Zetaquira, Boyacá",2003-11-04,3.64,3.64;3.75;3.68;3.54;3.59,3,5,21,14,88,0.05,Pago parcial,False,No,4,777000.0,1,No trabaja,0,Misma ciudad,Arrendada,24,Femenino,Ingeniería de Sistemas,Lima,Activo,0,2,False,5,3.8
EST-0062,Graciela,Rosa,Cárdenas,Ocampo,CC,7096526339,graciela.cárdenas48@email.com,(+57)3129529428,"Cl. 13 # 6-8, 230511, Cereté, Córdoba",1998-03-10,3.24,3.16;3.61;2.95,5,3,15,2,53,-0.66,Pago parcial,True,No,4,1343000.0,5,Medio tiempo,17,Misma ciudad,Familiar,16,Femenino,Ingeniería de Sistemas,Bagua,Desertor,0,2,True,0,3.4
